,loss_values
149,958.9738159179688
150,964.7352294921875
151,983.729248046875
152,981.4825439453125
153,990.5735473632812
154,975.7260131835938
155,948.9876098632812
156,974.6403198242188
157,974.3085327148438
158,983.5079345703125
159,951.9733276367188
160,957.4500732421875
161,960.4893798828125
162,955.5227661132812
163,960.828369140625
164,952.884765625
165,949.9176635742188
166,958.169921875
167,966.7723999023438
168,978.47802734375
169,965.2266845703125
170,989.1470947265625
171,972.24560546875
172,968.6956176757812
173,928.0729370117188
174,931.0071411132812
175,969.6307373046875
176,924.6495971679688
177,984.5767211914062
178,934.1265258789062
179,933.8109130859375
180,953.4347534179688
181,957.4378051757812
182,942.71484375
183,937.6563720703125
184,956.177734375
185,944.076904296875
186,937.979736328125
187,926.1376342773438
188,942.0338134765625
189,913.0881958007812
190,936.9533081054688
191,932.1756591796875
192,945.603271484375
193,930.5377807617188
194,951.4601440429688
195,927.092041015625
196,939.1734619140625
197,967.6856689453125
198,933.6155395507812
199,980.0611572265625
200,934.0398559570312
201,918.6732177734375
202,929.0390625
203,917.4151000976562
204,943.5154418945312
205,948.93359375
206,920.24951171875
207,925.330810546875
208,945.2384643554688
209,970.4263305664062
210,947.9057006835938
211,894.2215576171875
212,937.36083984375
213,936.8070678710938
214,920.87158203125
215,941.1098022460938
216,960.001708984375
217,905.6205444335938
218,932.4097290039062
219,933.7813110351562
220,914.5012817382812
221,947.3956909179688
222,925.7603149414062
223,946.5604858398438
224,916.7724609375
225,922.9105834960938
226,935.1473999023438
227,913.8111572265625
228,899.8986206054688
229,904.0433959960938
230,937.7339477539062
231,902.0808715820312
232,935.556396484375
233,922.9287719726562
234,916.4990844726562
235,945.2321166992188
236,893.3153686523438
237,904.5431518554688
238,885.7079467773438
239,917.143798828125
240,907.556640625
241,942.0816040039062
242,907.5928955078125
243,900.5094604492188
244,907.1337280273438
245,901.67578125
246,919.9646606445312
247,917.2216186523438
248,909.7566528320312
249,908.7945556640625
250,907.9707641601562
251,925.06884765625
252,900.9136962890625
253,895.1908569335938
254,903.04150390625
255,915.0105590820312
256,887.1796264648438
257,894.5585327148438
258,904.3576049804688
259,902.3795166015625
260,905.776611328125
261,886.1800537109375
262,912.3182373046875
263,899.277587890625
264,893.6447143554688
265,898.7999877929688
266,881.1666870117188
267,881.1179809570312
268,889.6023559570312
269,899.1512451171875
270,900.5938720703125
271,901.6006469726562
272,877.4996948242188
273,902.8046875
274,895.6578369140625
275,873.2950439453125
276,896.0615844726562
277,881.8130493164062
278,915.6607666015625
279,878.6974487304688
280,914.7398071289062
281,894.3656005859375
282,904.7268676757812
283,930.3573608398438
284,899.43701171875
285,893.1998901367188
286,885.1439208984375
287,910.2003784179688
288,908.391845703125
289,903.9318237304688
290,920.9600830078125
291,902.9866333007812
292,877.5565795898438
293,891.7596435546875
294,927.0319213867188
295,889.5889282226562
296,897.65185546875
297,888.697021484375
298,883.9459838867188
299,881.9059448242188
300,895.6727905273438
301,866.6182250976562
302,885.2166748046875
303,872.8616943359375
304,897.458984375
305,921.1361694335938
306,911.366455078125
307,879.7274169921875
308,913.78173828125
309,898.8827514648438
310,870.5518188476562
311,871.8486328125
312,892.1251220703125
313,882.747314453125
314,867.456787109375
315,930.3577270507812
316,890.2821655273438
317,902.935791015625
318,890.6824340820312
319,901.1115112304688
320,889.2582397460938
321,882.759765625
322,883.791015625
323,883.2471313476562
324,874.2406616210938
325,865.9117431640625
326,875.9581298828125
327,903.3112182617188
328,882.3895263671875
329,864.9995727539062
330,877.45654296875
331,876.6290893554688
332,875.010009765625
333,874.17822265625
334,895.2936401367188
335,905.3162231445312
336,873.8123168945312
337,889.0690307617188
338,877.8761596679688
339,883.6085205078125
340,869.8011474609375
341,887.0037231445312
342,888.2694091796875
343,882.05029296875
344,888.29248046875
345,864.1077270507812
346,871.7254638671875
347,866.0521850585938
348,898.05712890625
349,876.0342407226562
350,894.0191040039062
351,870.1278686523438
352,865.96826171875
353,899.4486083984375
354,876.2008666992188
355,869.578125
356,880.21484375
357,885.5905151367188
358,873.8555297851562
