,loss_values
127,1593.904052734375
128,1583.214111328125
129,1597.388427734375
130,1591.047607421875
131,1588.6029052734375
132,1589.91162109375
133,1591.5108642578125
134,1589.334228515625
135,1587.552734375
136,1598.79931640625
137,1594.92578125
138,1601.7979736328125
139,1591.870849609375
140,1619.4998779296875
141,1584.4288330078125
142,1600.6748046875
143,1598.9765625
144,1583.4755859375
145,1590.66015625
146,1586.58544921875
147,1589.76904296875
148,1586.94140625
149,1586.975341796875
150,1604.134765625
151,1599.6151123046875
152,1589.450927734375
153,1587.4791259765625
154,1591.1978759765625
155,1595.9495849609375
156,1588.27490234375
157,1581.65087890625
158,1581.32470703125
159,1599.3565673828125
160,1604.055908203125
161,1580.054443359375
162,1586.335693359375
163,1590.1129150390625
164,1587.51123046875
165,1579.83984375
166,1605.463134765625
167,1598.6785888671875
168,1583.406005859375
169,1590.5677490234375
170,1576.110107421875
171,1589.0233154296875
172,1589.524169921875
173,1580.5203857421875
174,1587.60595703125
175,1572.917724609375
176,1584.8465576171875
177,1582.1988525390625
178,1579.352783203125
179,1594.5787353515625
180,1578.9124755859375
181,1581.9554443359375
182,1583.7181396484375
183,1576.3236083984375
184,1586.363525390625
185,1579.1015625
186,1578.415283203125
187,1575.14404296875
188,1579.9451904296875
189,1569.875732421875
190,1592.881103515625
191,1572.0814208984375
192,1583.91748046875
193,1588.9190673828125
194,1584.4395751953125
195,1573.8060302734375
196,1595.3165283203125
197,1586.9879150390625
198,1589.687744140625
199,1572.6976318359375
200,1576.9288330078125
201,1587.21484375
202,1597.385986328125
203,1572.865478515625
204,1565.5853271484375
205,1584.7508544921875
206,1566.9295654296875
207,1583.5443115234375
208,1590.8099365234375
209,1587.915283203125
210,1565.2337646484375
211,1567.8355712890625
212,1574.9173583984375
213,1573.365478515625
214,1578.6170654296875
215,1569.7655029296875
216,1577.115478515625
217,1566.3165283203125
218,1575.5357666015625
219,1574.0433349609375
220,1565.265625
221,1570.921875
222,1563.825927734375
223,1580.32958984375
224,1565.2430419921875
225,1572.5279541015625
226,1572.142333984375
227,1582.8824462890625
228,1602.1298828125
229,1574.6162109375
230,1570.15673828125
231,1592.600830078125
232,1587.0733642578125
233,1571.7685546875
234,1575.4835205078125
235,1573.8216552734375
236,1563.6865234375
237,1580.2589111328125
238,1569.4337158203125
239,1577.2623291015625
240,1580.5150146484375
241,1575.3907470703125
242,1570.092041015625
243,1562.6671142578125
244,1583.9677734375
245,1565.9609375
246,1574.2362060546875
247,1579.2886962890625
248,1571.8756103515625
249,1575.779541015625
250,1572.7464599609375
251,1566.418212890625
252,1565.3690185546875
253,1568.7276611328125
254,1570.4205322265625
255,1568.5670166015625
256,1575.456787109375
257,1572.3626708984375
258,1571.1031494140625
259,1585.9287109375
260,1564.1026611328125
261,1576.068115234375
262,1574.62548828125
263,1578.83251953125
264,1572.3448486328125
265,1583.4417724609375
266,1560.0289306640625
267,1568.6519775390625
268,1576.544189453125
269,1565.445556640625
270,1569.1802978515625
271,1571.5870361328125
272,1579.03662109375
273,1576.6478271484375
274,1570.281005859375
275,1570.8594970703125
276,1563.6810302734375
277,1565.6556396484375
278,1559.7750244140625
279,1565.9017333984375
280,1576.98046875
281,1566.6904296875
282,1560.932861328125
283,1569.481689453125
284,1558.8814697265625
285,1571.3028564453125
286,1573.66259765625
287,1553.25390625
288,1559.3934326171875
289,1563.313232421875
290,1566.1292724609375
291,1560.4766845703125
292,1574.5103759765625
293,1570.1121826171875
294,1557.3531494140625
295,1559.7047119140625
296,1559.073486328125
297,1566.097900390625
298,1561.54296875
299,1568.720458984375
300,1560.280029296875
301,1564.4755859375
302,1562.4232177734375
303,1576.489501953125
